product;sell_price;purchase_price;weight;unit_weight;length;width;height;category_id;stock
ABON SAPI CAP ASLI 250GR;85000;80000;250;g;;18;23;2;4
BANDUNG REMSEU OPAK SINGKONG ORI;16500;13000;;gr;;19.5;25;2;4
CLOSE UP PD DEEP ACTION 65GR;7100;6400;65;gr;3;;17;9;4
DJARUM SUPER 12'S;20800;18580;;gr;1.5;5;9;8;4
DK KACANG KULIT 75GR;8200;6800;75;g;14;19;;6;4
GLICO POCKY CHOC.FLAV 47GR;8500;7050;47;gr;8;15;;6;4
NESCAFE CLASSIC SACH+BAG 60x2GR;32300;30700;120;gr;19;28;;4;4
PALMIA ROYAL MARGARIN 200GR;8700;7875;200;gr;15;14.5;;3;4
DJARUM COKLAT 12'S;15000;12850;;g;1.5;5;8;8;3
GARUDA K.ATOM 115GR;10000;8400;115;gr;14;20;;6;3
H&S SHP CLEAN BALANCE 160ML;30100;27100;160;gr;4.5;;16.5;9;3
Lux b.wash soft touch 100 ml btl;14800;13350;100;gr;4.5;;14;9;3
Pepsodent pg herbal 120 gr;12400;11800;120;gr;3.5;17;;9;3
Rinso det. Molto ultra 770 gr;33200;29900;770;gr;18;28;;5;3
SARIROTI KASUR KRIM MESES 185GR;11000;9800;;gr;;;;6;3
SIPETEK C.IKAN BBQ 50 GR;12000;10000;50;gr;9;19;;2;3
SIPETEK LAUK K. UDANG REB KENT 30GR;12000;10000;50;g;9;19;;2;3
Sunlight lime pouch 220/210 ml;5100;4600;;gr;12;17;;5;3
ULTRA MILK CHOCO 250ML;5200;4750;250;gr;4;5.5;13;4;3
ZANANA CHIPS GOCHUJANG 80GR;24000;19900;80;gr;13.5;20;;2;3
ANNAFI KERIPIK JAMUR ORI 65GR;15600;13000;65;gr;;14;20;2;2
ANNAFI KERIPIK JAMUR S.PANGGANG 65 GR;15600;13000;65;gr;;14;20;2;2
CIP KORNED BEEF 198GR;23400;19900;198;g;5;;6;3;2
DAPUR CIHUUYY M.BAWANG PTH 80 GR;20700;18000;80;gr;3.5;;12;2;2
DAPUR CIHUUYY M.CABAI HJ 80 GR;20700;18000;80;gr;;;12;2;2
DAPUR CIHUUYY M.CABAI MRH 80GR;20700;18000;80;gr;3.5;;12;2;2
DETTOL LIQUID 95ML;23500;21200;95;gr;5;;12;9;2
DK WAFER ROLL CHOCO 360 GR;30000;26200;360;gr;;;18;6;2
